Year,Nominal GDP (million of pounds),Real GDP (millions of 2013 pounds),GDP Deflator (index 2015 = 100),Population (in thousands),Nominal GDP per capita (current pounds),Real GDP per capita (2013 pounds),British Official Price (British pounds per fine ounce end of year),London Market Price (British &pound; [1718-1949] or U.S. $ [1950-2011] per fine ounce),serie_unificada,gbp_usd,gdp_in_gold
1700,82,10674,0.77,6580,12.46,1623,4.35,NA,4.35,NA,18.85057471264368
1701,85,11631,0.73,6610,12.850000000000001,1759,4.35,NA,4.35,NA,19.540229885057474
1702,83,11331,0.73,6660,12.41,1702,4.35,NA,4.35,NA,19.080459770114945
1703,77,10605,0.72,6710,11.42,1581,4.35,NA,4.35,NA,17.70114942528736
1704,93,12625,0.74,6740,13.78,1873,4.35,NA,4.35,NA,21.379310344827587
1705,87,11983,0.72,6750,12.81,1774,4.35,NA,4.35,NA,20
1706,71,10148,0.7,6770,10.51,1498,4.35,NA,4.35,NA,16.32183908045977
1707,79,11401,0.69,6800,11.58,1676,4.35,NA,4.35,NA,18.160919540229887
1708,87,12135,0.71,6830,12.68,1776,4.35,NA,4.35,NA,20
1709,82,10513,0.78,6860,11.950000000000001,1533,4.35,NA,4.35,NA,18.85057471264368
1710,77,9558,0.8,6880,11.16,1389,4.35,NA,4.35,NA,17.70114942528736
1711,78,10422,0.75,6880,11.29,1514,4.35,NA,4.35,NA,17.931034482758623
1712,76,10412,0.73,6880,11.02,1513,4.35,NA,4.35,NA,17.471264367816094
1713,75,9965,0.75,6890,10.81,1445,4.35,NA,4.35,NA,17.24137931034483
1714,83,10962,0.76,6920,11.99,1584,4.35,NA,4.35,NA,19.080459770114945
1715,77,10654,0.73,6930,11.15,1537,4.35,NA,4.35,NA,17.70114942528736
1716,81,11057,0.73,6970,11.55,1585,4.35,NA,4.35,NA,18.620689655172416
1717,86,11680,0.74,7020,12.28,1663,4.25,NA,4.25,NA,20.235294117647058
1718,91,12340,0.73,7070,12.82,1745,4.25,4.31,4.31,NA,21.11368909512761
1719,87,12123,0.72,7120,12.28,1703,4.25,4.26,4.26,NA,20.422535211267608
1720,96,12896,0.75,7100,13.55,1817,4.25,4.31,4.31,NA,22.273781902552205
1721,89,12393,0.71,7100,12.48,1747,4.25,4.26,4.26,NA,20.892018779342724
1722,88,12525,0.7,7100,12.33,1763,4.25,4.25,4.25,NA,20.705882352941178
1723,87,12224,0.72,7130,12.26,1714,4.25,4.26,4.26,NA,20.422535211267608
1724,87,12102,0.72,7160,12.09,1690,4.25,4.25,4.25,NA,20.470588235294116
1725,91,12418,0.73,7190,12.6,1727,4.25,4.25,4.25,NA,21.41176470588235
1726,90,12034,0.75,7250,12.39,1661,4.25,4.25,4.25,NA,21.176470588235293
1727,88,11961,0.74,7280,12.07,1642,4.25,4.25,4.25,NA,20.705882352941178
1728,96,12326,0.78,7220,13.28,1708,4.25,4.28,4.28,NA,22.429906542056074
1729,89,11641,0.76,7110,12.46,1638,4.25,4.3,4.3,NA,20.697674418604652
1730,85,11908,0.71,7030,12.07,1694,4.25,4.29,4.29,NA,19.813519813519815
1731,83,11719,0.71,7020,11.77,1669,4.25,4.26,4.26,NA,19.483568075117372
1732,85,12497,0.68,7050,12.07,1773,4.25,4.26,4.26,NA,19.953051643192488
1733,88,12774,0.69,7080,12.39,1804,4.25,4.2700000000000005,4.2700000000000005,NA,20.608899297423886
1734,88,12728,0.69,7140,12.27,1781,4.25,4.26,4.26,NA,20.657276995305164
1735,87,12426,0.7,7200,12.12,1726,4.25,4.28,4.28,NA,20.327102803738317
1736,93,13350,0.7,7250,12.84,1841,4.25,4.26,4.26,NA,21.83098591549296
1737,87,12635,0.69,7290,11.92,1734,4.25,4.26,4.26,NA,20.422535211267608
1738,87,12871,0.68,7310,11.92,1760,4.25,4.26,4.26,NA,20.422535211267608
1739,87,12785,0.68,7350,11.850000000000001,1739,4.25,4.25,4.25,NA,20.470588235294116
1740,93,12570,0.74,7390,12.53,1702,4.25,4.25,4.25,NA,21.88235294117647
1741,96,12937,0.75,7400,13.04,1748,4.25,4.2700000000000005,4.2700000000000005,NA,22.482435597189692
1742,96,13235,0.73,7320,13.16,1807,4.25,4.28,4.28,NA,22.429906542056074
